School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,Blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
GPS BR BHUPANA,03090602901,Punjab,LUDHIANA,MANGAT-3,GPS CHONTA,BHUPANA,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,14,6,4,3,3,0,0,0,0,0,0,0,30,46,6,1,1
NANKANA SAHIB SEN SEC PUBLIC SCHOOL,03090603302,Punjab,LUDHIANA,MANGAT-3,GPS CHONTA,FATEHGARH JATTAN,141126,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,43,41,48,38,31,40,32,36,27,38,15,23,412,532,41,29,29
GPS BORHE,03090603401,Punjab,LUDHIANA,MANGAT-3,GPS MACHHIAN KALAN,BORE,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,12,20,14,15,11,0,0,0,0,0,0,0,72,102,20,1,1
GMS BORHE,03090603402,Punjab,LUDHIANA,MANGAT-3,GPS MACHHIAN KALAN,BORE,141126,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,34,40,30,0,0,0,0,104,104,0,2,2
GPS GARHI SHERU,03090605601,Punjab,LUDHIANA,MANGAT-2,GPS GOANSGARH,GARI SHERU,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,0,5,1,1,1,0,0,0,0,0,0,0,8,16,5,1,1
GMS GARHI SHERU,03090605602,Punjab,LUDHIANA,MANGAT-2,GPS GOANSGARH,GARI SHERU,141126,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,6,8,5,0,0,0,0,19,19,0,1,1
GPS GHUMAIT,03090605801,Punjab,LUDHIANA,MANGAT-3,GPS KOOM KALAN,GHUMAIT,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,13,7,7,10,5,0,0,0,0,0,0,0,42,61,7,2,2
GPS BR HADIWAL,03090606301,Punjab,LUDHIANA,MANGAT-3,GPS CHONTA,HADDIWAL,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,3,2,2,0,1,0,0,0,0,0,0,0,8,13,2,1,1
GPS JIWANPUR,03090607401,Punjab,LUDHIANA,MANGAT-3,GPS MACHHIAN KALAN,JIWANPUR,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,16,18,10,10,6,0,0,0,0,0,0,0,60,78,18,1,1
GMS JIWANPUR,03090607402,Punjab,LUDHIANA,MANGAT-3,GPS MACHHIAN KALAN,JIWANPUR,141126,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,28,37,38,0,0,0,0,103,103,0,6,6
GPS JONEWAL,03090607501,Punjab,LUDHIANA,MANGAT-3,GPS CHONTA,JONEWAL,141126,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,4,2,3,2,4,0,0,0,0,0,0,0,15,20,2,1,1
GHS JONEWAL,03090607502,Punjab,LUDHIANA,MANGAT-3,GPS CHONTA,JONEWAL,141126,7-Upper Pr. and Secondary,3-Co-educational,6,10,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,36,30,26,68,73,0,0,233,233,0,9,9
GURU NANAK MODEL SCHOOL,03090607503,Punjab,LUDHIANA,MANGAT-3,GPS CHONTA,JONEWAL,141126,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,25,10,14,10,16,11,3,4,6,6,17,14,136,196,10,7,7
