School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
"North DMC Primary School (Boys) , Bawana JJ Colony E5 Block, Delhi",07010402803,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,1-Primary,1-Boys,1,5,3-Local body,3-Local body,,2-Urban,67,127,134,139,167,0,0,0,0,0,0,0,634,634,127,14,14
"North DMC Primary School (Girls) , Bawana JJ Colony E4 Block, Delhi",07010402804,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,1-Primary,2-Girls,1,5,3-Local body,3-Local body,,2-Urban,116,131,133,123,178,0,0,0,0,0,0,0,681,818,131,20,20
"North DMC Primary School (Boys) , Bawana JJ Colony E3 Block, Delhi",07010402805,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,1-Primary,1-Boys,1,5,3-Local body,3-Local body,,2-Urban,100,91,118,124,133,0,0,0,0,0,0,0,566,566,91,12,12
"North DMC Primary School (Boys) , Bawana JJ Colony B2 Block, Delhi",07010402806,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,1-Primary,1-Boys,1,5,3-Local body,3-Local body,,2-Urban,53,54,77,82,97,0,0,0,0,0,0,0,363,363,54,8,8
"North DMC Primary School (Girls) , Bawana JJ Colony B2 Block, Delhi",07010402807,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,1-Primary,2-Girls,1,5,3-Local body,3-Local body,,2-Urban,61,60,67,68,98,0,0,0,0,0,0,0,354,421,60,12,12
"North DMC Primary School (Girls) , Bawana JJ Colony E5 Block, Delhi",07010402808,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",030-N (Bawana),110039,1-Primary,2-Girls,1,5,3-Local body,3-Local body,,2-Urban,105,147,176,172,158,0,0,0,0,0,0,0,758,955,147,17,17
"North DMC Primary School (Boys) , Bawana JJ Colony E4 Block, Delhi",07010402809,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",030-N (Bawana),110039,1-Primary,1-Boys,1,5,3-Local body,3-Local body,,2-Urban,75,74,95,102,145,0,0,0,0,0,0,0,491,491,74,14,14
"North DMC Primary School (Girls) , Bawana JJ Colony E3 Block, Delhi",07010402810,Delhi,NORTH WEST A,DOE ZONE-10,"1310022-Govt. Co-ed. Sr. Sec. School, Alipur Road, Bhorgarh Village, Narela, Delhi",030-N (Bawana),110039,1-Primary,2-Girls,1,5,3-Local body,3-Local body,,2-Urban,105,132,141,157,137,0,0,0,0,0,0,0,672,945,132,18,18
"North DMC Primary School (Co.ed) , Jat Khor, Delhi",07010402811,Delhi,NORTH WEST B,DOE ZONE-13,"1355033-North DMC Pratibha Vidyalaya (Girls) , Kanjhawala Delhi",029-N (Nangal Thakran),110039,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,5,16,10,16,8,0,0,0,0,0,0,0,55,68,16,2,2
"North DMC Primary School (Co.ed) , Katewara, Delhi",07010402813,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",029-N (Nangal Thakran),110039,1-Primary,3-Co-educational,1,5,3-Local body,3-Local body,,2-Urban,23,19,22,22,29,0,0,0,0,0,0,0,115,139,19,4,4
